state	rx_person_year	n_isolates	n_resistant
Alaska	0.0605441792686478	75	21
Alabama	0.15785979991137777	884	352
Arkansas	0.13630894255581125	412	149
Arizona	0.09039603126283874	610	181
California	0.07048474122592545	3410	1250
Colorado	0.06608349880394998	409	91
Connecticut	0.09831269561547867	366	108
Delaware	0.12608517481468975	119	44
Florida	0.11087510825948375	1864	737
Georgia	0.11186681697635499	1222	433
Hawaii	0.08559487817527207	126	22
Iowa	0.10875269523734575	206	55
Idaho	0.07069627732677511	111	19
Illinois	0.10043541642235536	1249	396
Indiana	0.11278969389803276	850	282
Kansas	0.1151486814013105	347	87
Kentucky	0.16166445528956125	587	210
Louisiana	0.13471920966632248	610	250
Massachusetts	0.0889306698494797	720	216
Maryland	0.10092652756574233	699	215
Maine	0.08325698466969941	201	43
Michigan	0.10392025410040376	851	234
Minnesota	0.07562894118861388	498	112
Missouri	0.11437460456671801	628	217
Mississippi	0.15184411574155549	473	201
Montana	0.07603832362816024	130	29
North Carolina	0.11446549983101374	1115	359
North Dakota	0.108056395441415	49	10
Nebraska	0.117190552645415	299	78
New Hampshire	0.07638940905583079	87	19
New Jersey	0.12254886192041577	912	324
New Mexico	0.07448078453024655	148	41
Nevada	0.08913286448025215	477	174
New York	0.118579062181108	2301	794
Ohio	0.111088988328559	1201	380
Oklahoma	0.11479473806236375	359	129
Oregon	0.06998681995229275	398	66
Pennsylvania	0.10444874620088852	3354	966
Rhode Island	0.11946422867122175	105	28
South Carolina	0.12443870742105599	678	215
South Dakota	0.0962524082191923	67	13
Tennessee	0.15587702142464452	1041	407
Texas	0.10886649033496874	2395	968
Utah	0.07181442050651933	213	42
Virginia	0.09743681740847529	666	189
Vermont	0.06922264903910412	56	8
Washington	0.0642068164092225	686	160
Wisconsin	0.07875858351392567	547	129
West Virginia	0.166373169153672	218	74
Wyoming	0.0737334157491498	28	4
